section,sample_id,taxon,date,label,rel_abund,level,temp[C]
81RABR,11_R45_10_18_21_16S,Actinobacteria,2021_10_18,R45_10_18_21,0.282828282828283,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Bacteroidetes,2021_10_18,R45_10_18_21,6.80808080808081,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Chloroflexi,2021_10_18,R45_10_18_21,4.92929292929293,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Cyanobacteria,2021_10_18,R45_10_18_21,14.2828282828283,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Epsilonbacteraeota,2021_10_18,R45_10_18_21,0.181818181818182,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Firmicutes,2021_10_18,R45_10_18_21,0.303030303030303,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Gemmatimonadetes,2021_10_18,R45_10_18_21,0.323232323232323,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Proteobacteria,2021_10_18,R45_10_18_21,44.6868686868687,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Unclassified,2021_10_18,R45_10_18_21,0.181818181818182,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Unclassified Eukaryota,2021_10_18,R45_10_18_21,27.9393939393939,Phylum,20.0
81RABR,11_R45_10_18_21_16S,WPS-2,2021_10_18,R45_10_18_21,0.0808080808080808,Phylum,20.0
81RABR,12_R60_11_15_21_16S,Actinobacteria,2021_11_15,R60_11_15_21,0.873161764705882,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Bacteroidetes,2021_11_15,R60_11_15_21,0.551470588235294,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Cyanobacteria,2021_11_15,R60_11_15_21,15.1424632352941,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Epsilonbacteraeota,2021_11_15,R60_11_15_21,0.804227941176471,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Firmicutes,2021_11_15,R60_11_15_21,5.37683823529412,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Patescibacteria,2021_11_15,R60_11_15_21,0.0459558823529412,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Proteobacteria,2021_11_15,R60_11_15_21,55.6295955882353,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Unclassified,2021_11_15,R60_11_15_21,0.850183823529412,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Unclassified Bacteria,2021_11_15,R60_11_15_21,0.298713235294118,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Unclassified Eukaryota,2021_11_15,R60_11_15_21,20.3354779411765,Phylum,10.0
81RABR,12_R60_11_15_21_16S,Verrucomicrobia,2021_11_15,R60_11_15_21,0.0919117647058823,Phylum,10.0
81RABR,13_R27_11_03_21_16S,Actinobacteria,2021_11_03,R27_11_03_21,0.289687137891078,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Bacteroidetes,2021_11_03,R27_11_03_21,4.19080726149092,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Chloroflexi,2021_11_03,R27_11_03_21,18.6751641560448,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Cyanobacteria,2021_11_03,R27_11_03_21,12.5724217844728,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Epsilonbacteraeota,2021_11_03,R27_11_03_21,0.926998841251448,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Fibrobacteres,2021_11_03,R27_11_03_21,0.135187331015836,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Firmicutes,2021_11_03,R27_11_03_21,7.39667825415218,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Gemmatimonadetes,2021_11_03,R27_11_03_21,0.135187331015836,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Patescibacteria,2021_11_03,R27_11_03_21,0.135187331015836,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Planctomycetes,2021_11_03,R27_11_03_21,0.0386249517188103,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Proteobacteria,2021_11_03,R27_11_03_21,25.2220934723832,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Spirochaetes,2021_11_03,R27_11_03_21,0.444186944766319,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Unclassified Bacteria,2021_11_03,R27_11_03_21,0.714561606797992,Phylum,30.0
81RABR,13_R27_11_03_21_16S,Unclassified Eukaryota,2021_11_03,R27_11_03_21,29.123213595983,Phylum,30.0
81RABR,14_R46_11_5_21_16S,Acidobacteria,2021_11_05,R46_11_05_21,0.140219677494742,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Actinobacteria,2021_11_05,R46_11_05_21,0.467398924982472,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Bacteroidetes,2021_11_05,R46_11_05_21,6.84739425099322,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Chloroflexi,2021_11_05,R46_11_05_21,1.42556672119654,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Cyanobacteria,2021_11_05,R46_11_05_21,27.599906520215,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Dependentiae,2021_11_05,R46_11_05_21,0.0701098387473709,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Epsilonbacteraeota,2021_11_05,R46_11_05_21,0.794578172470203,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Firmicutes,2021_11_05,R46_11_05_21,0.210329516242113,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Gemmatimonadetes,2021_11_05,R46_11_05_21,0.584248656228091,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Patescibacteria,2021_11_05,R46_11_05_21,0.51413881748072,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Proteobacteria,2021_11_05,R46_11_05_21,38.6305211498014,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Unclassified,2021_11_05,R46_11_05_21,0.140219677494742,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Unclassified Bacteria,2021_11_05,R46_11_05_21,0.163589623743865,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Unclassified Eukaryota,2021_11_05,R46_11_05_21,22.0612292591727,Phylum,20.0
81RABR,14_R46_11_5_21_16S,Verrucomicrobia,2021_11_05,R46_11_05_21,0.186959569992989,Phylum,20.0
81RABR,14_R46_11_5_21_16S,WPS-2,2021_11_05,R46_11_05_21,0.163589623743865,Phylum,20.0
81RABR,15_R7_11_15_21_16S,Acidobacteria,2021_11_15,R7_11_15_21,0.39769337840525,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Actinobacteria,2021_11_15,R7_11_15_21,0.39769337840525,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Armatimonadetes,2021_11_15,R7_11_15_21,0.039769337840525,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Bacteroidetes,2021_11_15,R7_11_15_21,8.5305229667926,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Chloroflexi,2021_11_15,R7_11_15_21,7.65559753430105,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Cyanobacteria,2021_11_15,R7_11_15_21,16.4446211970571,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Epsilonbacteraeota,2021_11_15,R7_11_15_21,5.07059057466693,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Euryarchaeota,2021_11_15,R7_11_15_21,0.1590773513621,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Fibrobacteres,2021_11_15,R7_11_15_21,0.0596540067607874,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Firmicutes,2021_11_15,R7_11_15_21,2.52535295287333,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Gemmatimonadetes,2021_11_15,R7_11_15_21,0.855040763571287,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Patescibacteria,2021_11_15,R7_11_15_21,0.218731358122887,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Planctomycetes,2021_11_15,R7_11_15_21,0.357924040564725,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Proteobacteria,2021_11_15,R7_11_15_21,21.7538277987672,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Unclassified,2021_11_15,R7_11_15_21,0.039769337840525,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Unclassified Bacteria,2021_11_15,R7_11_15_21,0.477232054086299,Phylum,30.0
81RABR,15_R7_11_15_21_16S,Unclassified Eukaryota,2021_11_15,R7_11_15_21,34.9572479618214,Phylum,30.0
81RABR,15_R7_11_15_21_16S,WPS-2,2021_11_15,R7_11_15_21,0.0596540067607874,Phylum,30.0
81RABR,16_R45_11_15_21_16S,Acidobacteria,2021_11_15,R45_11_15_21,0.0819000819000819,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Actinobacteria,2021_11_15,R45_11_15_21,0.42997542997543,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Bacteroidetes,2021_11_15,R45_11_15_21,5.36445536445536,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Chloroflexi,2021_11_15,R45_11_15_21,2.31367731367731,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Cyanobacteria,2021_11_15,R45_11_15_21,11.0769860769861,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Epsilonbacteraeota,2021_11_15,R45_11_15_21,2.08845208845209,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Firmicutes,2021_11_15,R45_11_15_21,0.982800982800983,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Gemmatimonadetes,2021_11_15,R45_11_15_21,0.163800163800164,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Planctomycetes,2021_11_15,R45_11_15_21,0.040950040950041,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Proteobacteria,2021_11_15,R45_11_15_21,43.6117936117936,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Unclassified Eukaryota,2021_11_15,R45_11_15_21,33.7018837018837,Phylum,20.0
81RABR,16_R45_11_15_21_16S,Verrucomicrobia,2021_11_15,R45_11_15_21,0.143325143325143,Phylum,20.0
81RABR,17_R36_10_28_21_16S,Actinobacteria,2021_10_28,R36_10_28_21,0.120973839407228,Phylum,20.0
81RABR,17_R36_10_28_21_16S,Bacteroidetes,2021_10_28,R36_10_28_21,2.84288522606986,Phylum,20.0
81RABR,17_R36_10_28_21_16S,Chloroflexi,2021_10_28,R36_10_28_21,1.3004687736277,Phylum,20.0
81RABR,17_R36_10_28_21_16S,Cyanobacteria,2021_10_28,R36_10_28_21,12.6568879479812,Phylum,20.0
81RABR,17_R36_10_28_21_16S,Epsilonbacteraeota,2021_10_28,R36_10_28_21,7.47013458339634,Phylum,20.0
81RABR,17_R36_10_28_21_16S,Firmicutes,2021_10_28,R36_10_28_21,0.181460759110842,Phylum,20.0
81RABR,17_R36_10_28_21_16S,Planctomycetes,2021_10_28,R36_10_28_21,0.030243459851807,Phylum,20.0
81RABR,17_R36_10_28_21_16S,Proteobacteria,2021_10_28,R36_10_28_21,40.6169665809769,Phylum,20.0
81RABR,17_R36_10_28_21_16S,Unclassified Eukaryota,2021_10_28,R36_10_28_21,34.7799788295781,Phylum,20.0
81RABR,18_R60_11_01_21_16S,Actinobacteria,2021_11_01,R60_11_01_21,0.421822272215973,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Bacteroidetes,2021_11_01,R60_11_01_21,0.15466816647919,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Chloroflexi,2021_11_01,R60_11_01_21,0.0281214848143982,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Cyanobacteria,2021_11_01,R60_11_01_21,18.7570303712036,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Epsilonbacteraeota,2021_11_01,R60_11_01_21,0.0703037120359955,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Firmicutes,2021_11_01,R60_11_01_21,1.5185601799775,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Planctomycetes,2021_11_01,R60_11_01_21,0.15466816647919,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Proteobacteria,2021_11_01,R60_11_01_21,34.462879640045,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Unclassified,2021_11_01,R60_11_01_21,0.210911136107987,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Unclassified Bacteria,2021_11_01,R60_11_01_21,0.0843644544431946,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Unclassified Eukaryota,2021_11_01,R60_11_01_21,43.9679415073116,Phylum,10.0
81RABR,18_R60_11_01_21_16S,Verrucomicrobia,2021_11_01,R60_11_01_21,0.126546681664792,Phylum,10.0
81RABR,18_R60_11_01_21_16S,WPS-2,2021_11_01,R60_11_01_21,0.0421822272215973,Phylum,10.0
81RABR,19_R43_11_15_21_16S,Actinobacteria,2021_11_15,R43_11_15_21,0.322458270106222,Phylum,10.0
81RABR,19_R43_11_15_21_16S,Bacteroidetes,2021_11_15,R43_11_15_21,1.65022761760243,Phylum,10.0
81RABR,19_R43_11_15_21_16S,Chloroflexi,2021_11_15,R43_11_15_21,6.52503793626707,Phylum,10.0
