section,sample_id,taxon,date,label,rel_abund,level,temp[C]
81RABR,11_R45_10_18_21_16S,Acidobacteria,2021_10_18,R45_10_18_21,0.0743036013532741,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Actinobacteria,2021_10_18,R45_10_18_21,0.145445347329813,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Armatimonadetes,2021_10_18,R45_10_18_21,0.0015809276883675,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Atribacteria,2021_10_18,R45_10_18_21,0.003161855376735,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Unclassified Bacteria,2021_10_18,R45_10_18_21,0.137540708887975,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Bacteroidetes,2021_10_18,R45_10_18_21,14.9128908843709,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Chloroflexi,2021_10_18,R45_10_18_21,1.50188130394916,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Cyanobacteria,2021_10_18,R45_10_18_21,1.06238340658298,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Dependentiae,2021_10_18,R45_10_18_21,0.0094855661302052,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Epsilonbacteraeota,2021_10_18,R45_10_18_21,0.0047427830651026,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Fibrobacteres,2021_10_18,R45_10_18_21,0.0047427830651026,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Firmicutes,2021_10_18,R45_10_18_21,0.725645808960698,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Gemmatimonadetes,2021_10_18,R45_10_18_21,0.45530717424985,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Hydrogenedentes,2021_10_18,R45_10_18_21,0.003161855376735,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Nitrospirae,2021_10_18,R45_10_18_21,0.0110664938185727,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Proteobacteria,2021_10_18,R45_10_18_21,80.8518038384924,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Thermotogae,2021_10_18,R45_10_18_21,0.0094855661302052,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Verrucomicrobia,2021_10_18,R45_10_18_21,0.0110664938185727,Phylum,20.0
81RABR,11_R45_10_18_21_16S,Unclassified unknown,2021_10_18,R45_10_18_21,0.0743036013532741,Phylum,20.0
