section,sample_id,taxon,date,label,rel_abund,level,temp[C]
81RABR,R46_11_05_21,Amoebozoa,2021_11_05,18s,0.0046610268242093,Supergroup,20.0
81RABR,R46_11_05_21,Archaeplastida,2021_11_05,18s,52.7573857854219,Supergroup,20.0
81RABR,R46_11_05_21,Unclassified Eukaryota,2021_11_05,18s,0.67274153829422,Supergroup,20.0
81RABR,R46_11_05_21,Obazoa,2021_11_05,18s,45.9755917561972,Supergroup,20.0
81RABR,R46_11_05_21,TSAR,2021_11_05,18s,0.588066217654416,Supergroup,20.0
81RABR,R46_11_05_21,Unclassified unknown,2021_11_05,18s,0.0015536756080697,Supergroup,20.0
81RABR,18S_60_11_1_21,Archaeplastida,2021_11_01,R60_11_21,90.5202743872477,Supergroup,
81RABR,18S_60_11_1_21,Unclassified Eukaryota,2021_11_01,R60_11_21,3.57332389881479,Supergroup,
81RABR,18S_60_11_1_21,Obazoa,2021_11_01,R60_11_21,3.42787507125027,Supergroup,
81RABR,18S_60_11_1_21,TSAR,2021_11_01,R60_11_21,2.47263006859681,Supergroup,
81RABR,18S_60_11_1_21,Unclassified unknown,2021_11_01,R60_11_21,0.0058965740904534,Supergroup,
81RABR,R27_11_03_21,Amoebozoa,2021_11_03,18s,0.0125419528322238,Supergroup,30.0
81RABR,R27_11_03_21,Archaeplastida,2021_11_03,18s,61.7962083168198,Supergroup,30.0
81RABR,R27_11_03_21,Unclassified Eukaryota,2021_11_03,18s,1.17693685377588,Supergroup,30.0
81RABR,R27_11_03_21,Excavata,2021_11_03,18s,0.0005016781132889,Supergroup,30.0
81RABR,R27_11_03_21,Obazoa,2021_11_03,18s,34.9554258996343,Supergroup,30.0
81RABR,R27_11_03_21,TSAR,2021_11_03,18s,2.05537523014483,Supergroup,30.0
81RABR,R27_11_03_21,Unclassified unknown,2021_11_03,18s,0.0030100686797337,Supergroup,30.0
81RABR,R36_10_28_21,Amoebozoa,2021_10_28,18s,0.001207758641513,Supergroup,20.0
81RABR,R36_10_28_21,Archaeplastida,2021_10_28,18s,59.4923790429721,Supergroup,20.0
81RABR,R36_10_28_21,Unclassified Eukaryota,2021_10_28,18s,1.37805260996642,Supergroup,20.0
81RABR,R36_10_28_21,Excavata,2021_10_28,18s,0.0018116379622696,Supergroup,20.0
81RABR,R36_10_28_21,Obazoa,2021_10_28,18s,2.46684702529047,Supergroup,20.0
81RABR,R36_10_28_21,TSAR,2021_10_28,18s,36.6597019251673,Supergroup,20.0
81RABR,R43_11_15_21,Amoebozoa,2021_11_15,18s,0.000539895584194,Supergroup,10.0
81RABR,R43_11_15_21,Archaeplastida,2021_11_15,18s,91.045291840558,Supergroup,10.0
81RABR,R43_11_15_21,Unclassified Eukaryota,2021_11_15,18s,0.943737481171142,Supergroup,10.0
81RABR,R43_11_15_21,Excavata,2021_11_15,18s,0.001079791168388,Supergroup,10.0
81RABR,R43_11_15_21,Obazoa,2021_11_15,18s,6.90040546158373,Supergroup,10.0
81RABR,R43_11_15_21,TSAR,2021_11_15,18s,1.09922740941902,Supergroup,10.0
81RABR,R43_11_15_21,Unclassified unknown,2021_11_15,18s,0.0097181205154923,Supergroup,10.0
81RABR,R45_10_18_21,Amoebozoa,2021_10_18,18s,0.39683708328425,Supergroup,20.0
81RABR,R45_10_18_21,Archaeplastida,2021_10_18,18s,78.3550771586759,Supergroup,20.0
81RABR,R45_10_18_21,Unclassified Eukaryota,2021_10_18,18s,1.75889386264578,Supergroup,20.0
81RABR,R45_10_18_21,Obazoa,2021_10_18,18s,5.11397102132171,Supergroup,20.0
81RABR,R45_10_18_21,TSAR,2021_10_18,18s,14.3693308988102,Supergroup,20.0
81RABR,R45_10_18_21,Unclassified unknown,2021_10_18,18s,0.0058899752621039,Supergroup,20.0
81RABR,R45_11_15_21,Amoebozoa,2021_11_15,18s,0.001293987487141,Supergroup,20.0
81RABR,R45_11_15_21,Archaeplastida,2021_11_15,18s,76.09358117507,Supergroup,20.0
81RABR,R45_11_15_21,Unclassified Eukaryota,2021_11_15,18s,1.47643972282788,Supergroup,20.0
81RABR,R45_11_15_21,Excavata,2021_11_15,18s,0.002587974974282,Supergroup,20.0
81RABR,R45_11_15_21,Obazoa,2021_11_15,18s,13.9880047359942,Supergroup,20.0
81RABR,R45_11_15_21,TSAR,2021_11_15,18s,8.43679841615932,Supergroup,20.0
81RABR,R45_11_15_21,Unclassified unknown,2021_11_15,18s,0.001293987487141,Supergroup,20.0
81RABR,R58_10_28_21,Amoebozoa,2021_10_28,18s,0.0137098985467508,Supergroup,20.0
81RABR,R58_10_28_21,Archaeplastida,2021_10_28,18s,56.8823690704689,Supergroup,20.0
81RABR,R58_10_28_21,Unclassified Eukaryota,2021_10_28,18s,10.8582396490266,Supergroup,20.0
81RABR,R58_10_28_21,Obazoa,2021_10_28,18s,22.1551960515492,Supergroup,20.0
81RABR,R58_10_28_21,TSAR,2021_10_28,18s,10.0493556347683,Supergroup,20.0
81RABR,R58_10_28_21,Unclassified unknown,2021_10_28,18s,0.0411296956402523,Supergroup,20.0
81RABR,R60_11_15_21,Amoebozoa,2021_11_15,18s,0.0017744864340512,Supergroup,10.0
81RABR,R60_11_15_21,Archaeplastida,2021_11_15,18s,84.3070334727291,Supergroup,10.0
81RABR,R60_11_15_21,Unclassified Eukaryota,2021_11_15,18s,0.343067377249901,Supergroup,10.0
81RABR,R60_11_15_21,Obazoa,2021_11_15,18s,2.10572390174077,Supergroup,10.0
81RABR,R60_11_15_21,TSAR,2021_11_15,18s,13.2388517889781,Supergroup,10.0
81RABR,R60_11_15_21,Unclassified unknown,2021_11_15,18s,0.0035489728681024,Supergroup,10.0
81RABR,R72_11_15_21,Archaeplastida,2021_11_15,18s,33.1396248307871,Supergroup,10.0
81RABR,R72_11_15_21,Unclassified Eukaryota,2021_11_15,18s,1.53355250435119,Supergroup,10.0
81RABR,R72_11_15_21,Obazoa,2021_11_15,18s,62.7712241345968,Supergroup,10.0
81RABR,R72_11_15_21,TSAR,2021_11_15,18s,2.55511506478437,Supergroup,10.0
81RABR,R72_11_15_21,Unclassified unknown,2021_11_15,18s,0.0004834654805646,Supergroup,10.0
81RABR,R75_11_15_21,Amoebozoa,2021_11_15,18s,0.0020011206275514,Supergroup,10.0
81RABR,R75_11_15_21,Archaeplastida,2021_11_15,18s,17.9640598735292,Supergroup,10.0
81RABR,R75_11_15_21,Unclassified Eukaryota,2021_11_15,18s,1.78966888124016,Supergroup,10.0
81RABR,R75_11_15_21,Obazoa,2021_11_15,18s,65.4519864457429,Supergroup,10.0
81RABR,R75_11_15_21,TSAR,2021_11_15,18s,14.7922836788602,Supergroup,10.0
81RABR,R7_11_15_21,Amoebozoa,2021_11_15,18s,0.0003997761253697,Supergroup,30.0
81RABR,R7_11_15_21,Archaeplastida,2021_11_15,18s,86.4811705444951,Supergroup,30.0
81RABR,R7_11_15_21,Unclassified Eukaryota,2021_11_15,18s,1.78500039977613,Supergroup,30.0
81RABR,R7_11_15_21,Excavata,2021_11_15,18s,0.0003997761253697,Supergroup,30.0
81RABR,R7_11_15_21,Obazoa,2021_11_15,18s,0.679219637003278,Supergroup,30.0
81RABR,R7_11_15_21,TSAR,2021_11_15,18s,11.0534100903494,Supergroup,30.0
81RABR,R7_11_15_21,Unclassified unknown,2021_11_15,18s,0.0003997761253697,Supergroup,30.0
CVWRF,18S_PR_6_9_22,Amoebozoa,2022_6_22,CVWRF_PR_6_22_22,0.0287053062602896,Supergroup,
CVWRF,18S_PR_6_9_22,Archaeplastida,2022_6_22,CVWRF_PR_6_22_22,1.83207395837731,Supergroup,
CVWRF,18S_PR_6_9_22,Unclassified Eukaryota,2022_6_22,CVWRF_PR_6_22_22,26.6368356621217,Supergroup,
CVWRF,18S_PR_6_9_22,Excavata,2022_6_22,CVWRF_PR_6_22_22,0.0025328211406137,Supergroup,
CVWRF,18S_PR_6_9_22,Haptista,2022_6_22,CVWRF_PR_6_22_22,0.0025328211406137,Supergroup,
CVWRF,18S_PR_6_9_22,Obazoa,2022_6_22,CVWRF_PR_6_22_22,64.6038245599223,Supergroup,
CVWRF,18S_PR_6_9_22,TSAR,2022_6_22,CVWRF_PR_6_22_22,6.89265059732365,Supergroup,
CVWRF,18S_PR_6_9_22,Unclassified unknown,2022_6_22,CVWRF_PR_6_22_22,0.0008442737135379,Supergroup,
CVWRF,18S_PSR_6_22_22,Amoebozoa,2022_2_22,CVWRF_PSR_2_22_22,0.0257581079498888,Supergroup,
CVWRF,18S_PSR_6_22_22,Archaeplastida,2022_2_22,CVWRF_PSR_2_22_22,65.6983959723686,Supergroup,
CVWRF,18S_PSR_6_22_22,Unclassified Eukaryota,2022_2_22,CVWRF_PSR_2_22_22,5.28977871443625,Supergroup,
CVWRF,18S_PSR_6_22_22,Obazoa,2022_2_22,CVWRF_PSR_2_22_22,6.3950357101042,Supergroup,
CVWRF,18S_PSR_6_22_22,TSAR,2022_2_22,CVWRF_PSR_2_22_22,22.5910314951411,Supergroup,
GHR,18S_GHR_5_1_22,Amoebozoa,2022_5_01,GHR_5_1_22,0.0691562932226833,Supergroup,
GHR,18S_GHR_5_1_22,Archaeplastida,2022_5_01,GHR_5_1_22,56.4661134163209,Supergroup,
GHR,18S_GHR_5_1_22,Unclassified Eukaryota,2022_5_01,GHR_5_1_22,10.6500691562932,Supergroup,
GHR,18S_GHR_5_1_22,Obazoa,2022_5_01,GHR_5_1_22,25.1383125864454,Supergroup,
GHR,18S_GHR_5_1_22,TSAR,2022_5_01,GHR_5_1_22,7.57261410788382,Supergroup,
GHR,18S_GHR_5_1_22,Unclassified unknown,2022_5_01,GHR_5_1_22,0.103734439834025,Supergroup,
GHR,18S_GHR_6_15_22,Amoebozoa,2022_6_15,GHR_6_15_22,0.0335249636812893,Supergroup,
