section,sample_id,date,label,invsimpson,temp[C]
pilot,P_10_05_23,2023_10_05,16s,13.5079197296202,
pilot,P_10_12_23,2023_10_12,16s,10.9978449310016,
pilot,P_10_12_23_S2,2023_10_12,16s,14.073847626769,
pilot,P_10_12_23_S3,2023_10_12,16s,11.9091220575653,
pilot,P_10_19_23,2023_10_19,16s,11.3081375230679,
pilot,P_10_26_23,2023_10_26,16s,15.7584071066062,
pilot,P_11_02_23,2023_11_02,16s,14.6820813377955,
pilot,P_11_02_23_S2,2023_11_02,16s,19.2750972714317,
81RABR,R27_11_03_21,2021_11_03,16s,35.2107165977726,30.0
81RABR,R36_10_28_21,2021_10_28,16s,5.63610148197522,20.0
81RABR,R43_11_15_21,2021_11_15,16s,6.33202242960786,10.0
81RABR,R45_10_18_21,2021_10_18,16s,9.59381605861333,20.0
81RABR,R45_11_15_21,2021_11_15,16s,7.50634214644145,20.0
81RABR,R46_11_05_21,2021_11_05,16s,10.5110093067986,
81RABR,R58_10_28_21,2021_10_28,16s,8.41428517130062,20.0
81RABR,R60_11_15_21,2021_11_01,16s,4.5430853785373,10.0
81RABR,R60_11_15_21,2021_11_15,16s,5.68717183390236,10.0
81RABR,R7_11_15_21,2021_11_15,16s,35.4030006959859,30.0
81RABR,R72_11_15_21,2021_11_15,16s,3.43670215471827,10.0
TF,TF_05_25_22,2022_05_25,16s,32.8022448470949,
TF,TF_06_09_22,2022_06_09,16s,19.0777452348783,
TF,TF_06_22_22,2022_06_22,16s,13.3128499286442,
TF,TF_07_06_21,2021_07_06,16s,66.6636757340542,
TF,TF_09_11_21,2021_09_11,16s,62.3971461093122,
TF,TF_11_09_21,2021_11_09,16s,60.4285373411372,
control,Control_1,2023_12_05,16s,4.14679801048959,
control,Control_2,2023_12_05,16s,2.69218968800448,
pilot,P_10_05_23,2023_10_05,16sD,26.2702700151592,
pilot,P_11_02_23,2023_11_02,16sD,27.5284559804913,
pilot,P_11_02_23_S2,2023_11_02,16sD,32.04321014767,
pilot,P_10_19_23,2023_10_19,16sD,24.106273411534,
pilot,P_10_26_23,2023_10_26,16sD,33.5757349236509,
control,Control_1,2023_12_05,16sD,11.205562662567,
control,Control_2,2023_12_05,16sD,3.01658794982324,
81RABR,R27_11_03_21,2021_11_03,16sD,23.4245963447776,30.0
81RABR,R36_10_28_21,2021_10_28,16sD,14.3560347288078,20.0
81RABR,R43_11_15_21,2021_11_15,16sD,16.4603327280641,10.0
